created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2019-08-21 15:11:06 UTC,110,,,88.00000,,,,
2019-08-21 15:11:25 UTC,111,404,,,,,,
2019-08-21 15:11:42 UTC,112,,,86.00000,,,,
2019-08-21 15:11:57 UTC,113,,,78.00000,,,,
2019-08-21 15:12:16 UTC,114,404,,,,,,
2019-08-21 15:12:31 UTC,115,405,,,,,,
2019-08-21 15:12:47 UTC,116,404,,,,,,
2019-08-21 15:13:08 UTC,117,404,,,,,,
2019-08-21 15:13:24 UTC,118,,,72.00000,,,,
2019-08-21 15:13:39 UTC,119,,,72.00000,,,,
2019-08-21 15:13:54 UTC,120,,19.00000,,,,,
2019-08-21 15:14:09 UTC,121,,,81.00000,,,,
2019-08-21 15:14:24 UTC,122,405,,,,,,
2019-08-21 15:14:40 UTC,123,,,84.00000,,,,
2019-08-21 15:14:56 UTC,124,403,,,,,,
2019-08-21 15:15:13 UTC,125,,,89.00000,,,,
2019-08-21 15:15:29 UTC,126,,20.00000,,,,,
2019-08-21 15:15:54 UTC,127,326,,,,,,
2019-08-21 15:16:09 UTC,128,,20.00000,,,,,
2019-08-21 15:16:24 UTC,129,,20.00000,,,,,
2019-08-21 15:16:40 UTC,130,,20.00000,,,,,
2019-08-21 15:16:55 UTC,131,,20.00000,,,,,
2019-08-21 15:17:10 UTC,132,,20.00000,,,,,
2019-08-21 15:17:26 UTC,133,,,80.00000,,,,
2019-08-21 15:17:42 UTC,134,,,76.00000,,,,
2019-08-21 15:17:58 UTC,135,405,,,,,,
2019-08-21 15:18:14 UTC,136,405,,,,,,
2019-08-21 15:18:30 UTC,137,,,77.00000,,,,
2019-08-21 15:18:45 UTC,138,,20.00000,,,,,
2019-08-21 15:19:01 UTC,139,,,74.00000,,,,
2019-08-21 15:19:17 UTC,140,393,,,,,,
2019-08-21 15:19:46 UTC,141,405,,,,,,
2019-08-21 15:20:02 UTC,142,,20.00000,,,,,
2019-08-21 15:20:17 UTC,143,,,80.00000,,,,
2019-08-21 15:20:33 UTC,144,406,,,,,,
2019-08-21 15:20:49 UTC,145,,20.00000,,,,,
2019-08-21 15:21:04 UTC,146,,,82.00000,,,,
2019-08-21 15:21:20 UTC,147,406,,,,,,
2019-08-21 15:21:35 UTC,148,406,,,,,,
2019-08-21 15:21:51 UTC,149,,20.00000,,,,,
2019-08-21 15:22:06 UTC,150,,,85.00000,,,,
2019-08-21 15:22:22 UTC,151,406,,,,,,
2019-08-21 15:22:38 UTC,152,,20.00000,,,,,
2019-08-21 15:22:54 UTC,153,,,85.00000,,,,
2019-08-21 15:23:09 UTC,154,406,,,,,,
2019-08-21 15:23:24 UTC,155,,20.00000,,,,,
2019-08-21 15:23:40 UTC,156,,,85.00000,,,,
2019-08-21 15:23:55 UTC,157,408,,,,,,
2019-08-21 15:24:10 UTC,158,,20.00000,,,,,
2019-08-21 15:24:26 UTC,159,,,82.00000,,,,
2019-08-21 15:24:41 UTC,160,408,,,,,,
2019-08-21 15:24:57 UTC,161,,20.00000,,,,,
2019-08-21 15:25:13 UTC,162,408,,,,,,
2019-08-21 15:25:28 UTC,163,,20.00000,,,,,
2019-08-21 15:25:44 UTC,164,,,79.00000,,,,
2019-08-21 15:25:59 UTC,165,408,,,,,,
2019-08-21 15:26:14 UTC,166,408,,,,,,
2019-08-21 15:26:30 UTC,167,408,,,,,,
2019-08-21 15:26:46 UTC,168,,20.00000,,,,,
2019-08-21 15:27:01 UTC,169,,,78.00000,,,,
2019-08-21 15:27:17 UTC,170,408,,,,,,
2019-08-21 15:27:32 UTC,171,,20.00000,,,,,
2019-08-21 15:27:47 UTC,172,,,85.00000,,,,
2019-08-21 15:28:02 UTC,173,,20.00000,,,,,
2019-08-21 15:28:17 UTC,174,,,nan,,,,
2019-08-21 15:28:33 UTC,175,330,,,,,,
2019-08-21 15:28:48 UTC,176,,,85.00000,,,,
2019-08-21 15:29:06 UTC,177,320,,,,,,
2019-08-21 15:29:25 UTC,178,342,,,,,,
2019-08-21 15:29:41 UTC,179,,,85.00000,,,,
2019-08-21 15:29:56 UTC,180,344,,,,,,
2019-08-21 15:30:12 UTC,181,,,87.00000,,,,
2019-08-21 15:30:27 UTC,182,,20.00000,,,,,
2019-08-21 15:30:42 UTC,183,,,88.00000,,,,
2019-08-21 15:30:57 UTC,184,316,,,,,,
2019-08-21 15:31:13 UTC,185,,,89.00000,,,,
2019-08-21 15:31:29 UTC,186,,20.00000,,,,,
2019-08-21 15:31:44 UTC,187,,,90.00000,,,,
2019-08-21 15:32:00 UTC,188,,20.00000,,,,,
2019-08-21 15:32:15 UTC,189,,,91.00000,,,,
2019-08-21 15:32:31 UTC,190,,20.00000,,,,,
2019-08-21 15:32:46 UTC,191,328,,,,,,
2019-08-21 15:33:02 UTC,192,,20.00000,,,,,
2019-08-21 15:33:17 UTC,193,330,,,,,,
2019-08-21 15:33:33 UTC,194,,,93.00000,,,,
2019-08-21 15:33:48 UTC,195,331,,,,,,
2019-08-21 15:34:03 UTC,196,,19.00000,,,,,
2019-08-21 15:34:19 UTC,197,333,,,,,,
2019-08-21 15:34:35 UTC,198,,19.00000,,,,,
2019-08-21 15:34:50 UTC,199,,,93.00000,,,,
2019-08-21 15:35:05 UTC,200,,19.00000,,,,,
2019-08-21 15:35:21 UTC,201,,,93.00000,,,,
2019-08-21 15:35:36 UTC,202,336,,,,,,
2019-08-21 15:35:52 UTC,203,,19.00000,,,,,
2019-08-21 15:36:07 UTC,204,336,,,,,,
2019-08-21 15:36:24 UTC,205,,19.00000,,,,,
2019-08-21 15:36:39 UTC,206,,19.00000,,,,,
2019-08-21 15:36:54 UTC,207,,,93.00000,,,,
2019-08-21 15:37:09 UTC,208,337,,,,,,
2019-08-21 15:37:25 UTC,209,,19.00000,,,,,
2019-08-21 15:37:41 UTC,210,,,93.00000,,,,
2019-08-21 15:37:56 UTC,211,,,93.00000,,,,
2019-08-21 15:38:11 UTC,212,,,93.00000,,,,
2019-08-21 15:38:27 UTC,213,337,,,,,,
2019-08-21 15:38:42 UTC,214,,,nan,,,,
2019-08-21 15:38:57 UTC,215,336,,,,,,
2019-08-21 15:39:13 UTC,216,,20.00000,,,,,
2019-08-21 15:39:29 UTC,217,,,92.00000,,,,
2019-08-21 15:39:44 UTC,218,336,,,,,,
2019-08-21 15:40:00 UTC,219,,19.00000,,,,,
2019-08-21 15:40:15 UTC,220,,,92.00000,,,,
