created_at,value
2020-03-12T18:21:49 IST,606
2020-03-12T18:22:19 IST,637
2020-03-12T18:23:06 IST,653
2020-03-12T18:23:37 IST,489
2020-03-12T18:56:03 IST,677
2020-03-12T18:56:33 IST,748
2020-03-12T18:57:35 IST,776
2020-03-12T18:57:50 IST,778
2020-03-12T18:58:06 IST,782
2020-03-12T18:58:53 IST,847
2020-03-12T18:59:50 IST,850
2020-03-12T19:00:35 IST,852
2020-03-12T19:01:06 IST,854
2020-03-12T19:01:22 IST,854
2020-03-12T19:05:53 IST,860
2020-03-12T19:08:55 IST,842
2020-03-12T19:09:11 IST,849
2020-03-12T19:10:39 IST,773
2020-03-12T19:11:59 IST,838
2020-03-12T19:12:14 IST,840
2020-03-12T19:12:30 IST,840
2020-03-12T19:13:35 IST,835
2020-03-12T19:17:28 IST,737
2020-03-12T19:17:43 IST,790
2020-03-12T19:18:14 IST,816
2020-03-12T19:19:17 IST,832
2020-03-12T19:19:32 IST,828
2020-03-12T19:19:49 IST,825
2020-03-12T19:20:35 IST,824
2020-03-12T19:25:16 IST,706
2020-03-12T19:27:05 IST,805
2020-03-12T19:28:09 IST,813
2020-03-12T19:29:01 IST,810
2020-03-12T19:29:32 IST,816
2020-03-12T19:30:20 IST,805
2020-03-12T19:30:35 IST,804
2020-03-12T19:30:53 IST,805
2020-03-12T19:32:45 IST,797
2020-03-12T19:33:00 IST,801
2020-03-12T19:33:16 IST,800
2020-03-12T19:33:47 IST,797
2020-03-12T19:34:03 IST,793
2020-03-12T19:34:18 IST,795
2020-03-12T19:34:34 IST,787
2020-03-12T19:34:50 IST,788
2020-03-12T19:35:36 IST,785
2020-03-12T19:36:41 IST,786
2020-03-12T19:37:30 IST,787
2020-03-12T19:38:00 IST,786
2020-03-12T19:38:53 IST,787
2020-03-12T19:40:36 IST,792
2020-03-12T19:41:08 IST,785
2020-03-12T19:41:43 IST,784
2020-03-12T19:42:13 IST,783
2020-03-12T19:42:47 IST,784
2020-03-12T19:43:03 IST,786
2020-03-12T19:43:19 IST,782
2020-03-12T19:44:43 IST,777
2020-03-12T19:45:15 IST,774
2020-03-12T19:45:46 IST,773
2020-03-12T19:46:18 IST,770
2020-03-12T19:46:52 IST,773
2020-03-12T19:47:23 IST,772
2020-03-12T19:48:32 IST,769
2020-03-12T19:49:21 IST,764
2020-03-12T19:49:36 IST,768
2020-03-12T19:51:10 IST,761
2020-03-12T19:51:26 IST,760
2020-03-12T19:51:41 IST,762
2020-03-12T19:51:56 IST,762
2020-03-12T19:52:27 IST,760
2020-03-12T19:54:35 IST,759
2020-03-12T19:55:38 IST,758
2020-03-12T19:56:55 IST,756
2020-03-12T19:57:42 IST,754
2020-03-12T19:58:13 IST,754
2020-03-12T19:59:48 IST,750
2020-03-12T20:00:22 IST,753
2020-03-12T20:00:52 IST,748
2020-03-12T20:01:08 IST,748
2020-03-12T20:01:55 IST,750
2020-03-12T20:03:12 IST,747
2020-03-12T20:05:07 IST,745
2020-03-12T20:06:08 IST,740
2020-03-12T20:07:10 IST,739
2020-03-12T20:07:41 IST,738
2020-03-12T20:07:58 IST,739
2020-03-12T20:08:13 IST,738
2020-03-12T20:08:30 IST,738
2020-03-12T20:08:45 IST,738
2020-03-12T20:09:36 IST,737
2020-03-12T20:09:52 IST,737
2020-03-12T20:10:56 IST,737
2020-03-12T20:11:26 IST,738
2020-03-12T20:12:29 IST,738
2020-03-12T20:12:45 IST,738
2020-03-12T20:13:20 IST,738
2020-03-12T20:16:40 IST,738
2020-03-12T20:16:56 IST,738
2020-03-12T20:17:11 IST,737
2020-03-12T20:17:27 IST,736
2020-03-12T20:17:47 IST,736
2020-03-12T20:18:02 IST,740
2020-03-12T20:18:21 IST,736
2020-03-12T20:18:37 IST,736
2020-03-12T20:19:23 IST,735
2020-03-12T20:19:40 IST,735
2020-03-12T20:19:56 IST,734
2020-03-12T20:20:14 IST,734
2020-03-12T20:21:01 IST,732
2020-03-12T20:22:25 IST,732
2020-03-12T20:22:41 IST,729
