created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2020-03-12 18:21:49 IST,1,606,,,,,,
2020-03-12 18:22:04 IST,2,,22.00000,,,,,
2020-03-12 18:22:19 IST,3,637,,,,,,
2020-03-12 18:22:34 IST,4,,,95.00000,,,,
2020-03-12 18:22:50 IST,5,,22.00000,,,,,
2020-03-12 18:23:06 IST,6,653,,,,,,
2020-03-12 18:23:22 IST,7,,,95.00000,,,,
2020-03-12 18:23:37 IST,8,489,,,,,,
2020-03-12 18:56:03 IST,9,677,,,,,,
2020-03-12 18:56:18 IST,10,,,nan,,,,
2020-03-12 18:56:33 IST,11,748,,,,,,
2020-03-12 18:56:49 IST,12,,nan,,,,,
2020-03-12 18:57:04 IST,13,,nan,,,,,
2020-03-12 18:57:20 IST,14,,nan,,,,,
2020-03-12 18:57:35 IST,15,776,,,,,,
2020-03-12 18:57:50 IST,16,778,,,,,,
2020-03-12 18:58:06 IST,17,782,,,,,,
2020-03-12 18:58:22 IST,18,,,nan,,,,
2020-03-12 18:58:38 IST,19,,nan,,,,,
2020-03-12 18:58:53 IST,20,847,,,,,,
2020-03-12 18:59:09 IST,21,,nan,,,,,
2020-03-12 18:59:26 IST,22,,nan,,,,,
2020-03-12 18:59:50 IST,23,850,,,,,,
2020-03-12 19:00:35 IST,24,852,,,,,,
2020-03-12 19:00:51 IST,25,,nan,,,,,
2020-03-12 19:01:06 IST,26,854,,,,,,
2020-03-12 19:01:22 IST,27,854,,,,,,
2020-03-12 19:01:42 IST,28,,nan,,,,,
2020-03-12 19:01:58 IST,29,,,nan,,,,
2020-03-12 19:02:16 IST,30,,nan,,,,,
2020-03-12 19:02:34 IST,31,,,nan,,,,
2020-03-12 19:03:05 IST,32,,,nan,,,,
2020-03-12 19:03:20 IST,33,,,nan,,,,
2020-03-12 19:04:01 IST,34,,nan,,,,,
2020-03-12 19:05:07 IST,35,,,nan,,,,
2020-03-12 19:05:53 IST,36,860,,,,,,
2020-03-12 19:06:14 IST,37,,,nan,,,,
2020-03-12 19:06:31 IST,38,,,nan,,,,
2020-03-12 19:06:47 IST,39,,nan,,,,,
2020-03-12 19:07:02 IST,40,,,nan,,,,
2020-03-12 19:07:17 IST,41,,,78.00000,,,,
2020-03-12 19:07:33 IST,42,,,84.00000,,,,
2020-03-12 19:07:49 IST,43,,23.00000,,,,,
2020-03-12 19:08:04 IST,44,,23.00000,,,,,
2020-03-12 19:08:20 IST,45,,,81.00000,,,,
2020-03-12 19:08:35 IST,46,,,80.00000,,,,
2020-03-12 19:08:55 IST,47,842,,,,,,
2020-03-12 19:09:11 IST,48,849,,,,,,
2020-03-12 19:10:39 IST,49,773,,,,,,
2020-03-12 19:10:54 IST,50,,,86.00000,,,,
2020-03-12 19:11:10 IST,51,,22.00000,,,,,
2020-03-12 19:11:25 IST,52,,,nan,,,,
2020-03-12 19:11:42 IST,53,,,87.00000,,,,
2020-03-12 19:11:59 IST,54,838,,,,,,
2020-03-12 19:12:14 IST,55,840,,,,,,
2020-03-12 19:12:30 IST,56,840,,,,,,
2020-03-12 19:12:49 IST,57,,22.00000,,,,,
2020-03-12 19:13:18 IST,58,,22.00000,,,,,
2020-03-12 19:13:35 IST,59,835,,,,,,
2020-03-12 19:13:56 IST,60,,22.00000,,,,,
2020-03-12 19:14:26 IST,61,,22.00000,,,,,
2020-03-12 19:14:53 IST,62,,22.00000,,,,,
2020-03-12 19:15:09 IST,63,,,86.00000,,,,
2020-03-12 19:15:28 IST,64,,22.00000,,,,,
2020-03-12 19:15:48 IST,65,,22.00000,,,,,
2020-03-12 19:17:28 IST,66,737,,,,,,
2020-03-12 19:17:43 IST,67,790,,,,,,
2020-03-12 19:17:58 IST,68,,22.00000,,,,,
2020-03-12 19:18:14 IST,69,816,,,,,,
2020-03-12 19:18:30 IST,70,,,89.00000,,,,
2020-03-12 19:18:46 IST,71,,,89.00000,,,,
2020-03-12 19:19:02 IST,72,,,89.00000,,,,
2020-03-12 19:19:17 IST,73,832,,,,,,
2020-03-12 19:19:32 IST,74,828,,,,,,
2020-03-12 19:19:49 IST,75,825,,,,,,
2020-03-12 19:20:04 IST,76,,,91.00000,,,,
2020-03-12 19:20:19 IST,77,,,91.00000,,,,
2020-03-12 19:20:35 IST,78,824,,,,,,
2020-03-12 19:20:51 IST,79,,,91.00000,,,,
2020-03-12 19:21:10 IST,80,,22.00000,,,,,
2020-03-12 19:21:27 IST,81,,22.00000,,,,,
2020-03-12 19:21:44 IST,82,,,89.00000,,,,
2020-03-12 19:22:01 IST,83,,,88.00000,,,,
2020-03-12 19:25:16 IST,84,706,,,,,,
2020-03-12 19:25:31 IST,85,,,92.00000,,,,
2020-03-12 19:25:52 IST,86,,,90.00000,,,,
2020-03-12 19:26:13 IST,87,,,89.00000,,,,
2020-03-12 19:26:29 IST,88,,22.00000,,,,,
2020-03-12 19:26:49 IST,89,,22.00000,,,,,
2020-03-12 19:27:05 IST,90,805,,,,,,
2020-03-12 19:27:20 IST,91,,22.00000,,,,,
2020-03-12 19:27:37 IST,92,,,90.00000,,,,
2020-03-12 19:27:53 IST,93,,22.00000,,,,,
2020-03-12 19:28:09 IST,94,813,,,,,,
2020-03-12 19:28:25 IST,95,,,90.00000,,,,
2020-03-12 19:28:42 IST,96,,22.00000,,,,,
2020-03-12 19:29:01 IST,97,810,,,,,,
2020-03-12 19:29:17 IST,98,,,94.00000,,,,
2020-03-12 19:29:32 IST,99,816,,,,,,
2020-03-12 19:29:49 IST,100,,22.00000,,,,,
2020-03-12 19:30:04 IST,101,,22.00000,,,,,
2020-03-12 19:30:20 IST,102,805,,,,,,
2020-03-12 19:30:35 IST,103,804,,,,,,
2020-03-12 19:30:53 IST,104,805,,,,,,
2020-03-12 19:31:08 IST,105,,22.00000,,,,,
2020-03-12 19:31:23 IST,106,,,95.00000,,,,
2020-03-12 19:31:41 IST,107,,22.00000,,,,,
2020-03-12 19:31:57 IST,108,,,93.00000,,,,
2020-03-12 19:32:13 IST,109,,21.00000,,,,,
2020-03-12 19:32:29 IST,110,,,94.00000,,,,
2020-03-12 19:32:45 IST,111,797,,,,,,
2020-03-12 19:33:00 IST,112,801,,,,,,
2020-03-12 19:33:16 IST,113,800,,,,,,
2020-03-12 19:33:31 IST,114,,,94.00000,,,,
2020-03-12 19:33:47 IST,115,797,,,,,,
2020-03-12 19:34:03 IST,116,793,,,,,,
2020-03-12 19:34:18 IST,117,795,,,,,,
2020-03-12 19:34:34 IST,118,787,,,,,,
2020-03-12 19:34:50 IST,119,788,,,,,,
2020-03-12 19:35:06 IST,120,,,91.00000,,,,
2020-03-12 19:35:21 IST,121,,21.00000,,,,,
2020-03-12 19:35:36 IST,122,785,,,,,,
2020-03-12 19:35:52 IST,123,,,93.00000,,,,
2020-03-12 19:36:08 IST,124,,22.00000,,,,,
2020-03-12 19:36:24 IST,125,,22.00000,,,,,
2020-03-12 19:36:41 IST,126,786,,,,,,
2020-03-12 19:36:59 IST,127,,22.00000,,,,,
2020-03-12 19:37:15 IST,128,,,93.00000,,,,
2020-03-12 19:37:30 IST,129,787,,,,,,
2020-03-12 19:37:45 IST,130,,22.00000,,,,,
2020-03-12 19:38:00 IST,131,786,,,,,,
2020-03-12 19:38:19 IST,132,,nan,,,,,
2020-03-12 19:38:38 IST,133,,,93.00000,,,,
2020-03-12 19:38:53 IST,134,787,,,,,,
2020-03-12 19:39:09 IST,135,,,95.00000,,,,
2020-03-12 19:39:30 IST,136,,22.00000,,,,,
2020-03-12 19:39:46 IST,137,,,92.00000,,,,
2020-03-12 19:40:05 IST,138,,,94.00000,,,,
2020-03-12 19:40:21 IST,139,,,94.00000,,,,
2020-03-12 19:40:36 IST,140,792,,,,,,
2020-03-12 19:40:53 IST,141,,,94.00000,,,,
2020-03-12 19:41:08 IST,142,785,,,,,,
2020-03-12 19:41:27 IST,143,,,94.00000,,,,
2020-03-12 19:41:43 IST,144,784,,,,,,
2020-03-12 19:41:58 IST,145,,21.00000,,,,,
2020-03-12 19:42:13 IST,146,783,,,,,,
2020-03-12 19:42:29 IST,147,,21.00000,,,,,
2020-03-12 19:42:47 IST,148,784,,,,,,
2020-03-12 19:43:03 IST,149,786,,,,,,
2020-03-12 19:43:19 IST,150,782,,,,,,
2020-03-12 19:43:36 IST,151,,,93.00000,,,,
2020-03-12 19:43:51 IST,152,,21.00000,,,,,
2020-03-12 19:44:06 IST,153,,,94.00000,,,,
